rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
20.56,65,0.28265347,361,133120,367,0.859855130314827,0.043083467,640,-0.01302783332503168,0.0003,0.2,-0.2740971654187888,0.138232421875,0.037512961082393305,-0.01652212254703045
16.09,66,0.6823659999999998,367,135168,367,0.6099259555339813,0.34201065,650,0.011954719413188286,0.0003,0.2,-0.31485799397341907,0.20693359375,0.1400250452919863,0.047665856778621674
15.03,67,0.7790028200000002,373,137216,367,0.8317260295152664,0.046060838,660,-0.011793148994911462,0.0003,0.2,-0.22455292316153647,0.171630859375,0.03105906687560491,-0.005923156626522541
13.99,68,0.8683388199999998,379,139264,366,0.7821519076824188,0.09714634,670,-0.02566910360037582,0.0003,0.2,-0.20746239412110298,0.2197265625,0.03978797925810795,0.012233729474246502
16.72,69,0.61643057,385,141312,366,0.9065837562084198,0.05507566,680,-0.008529006810567808,0.0003,0.2,-0.17875468304846437,0.10380859375,0.018980188584828285,-0.008489878848195076
14.72,70,0.7923283999999999,390,143360,366,0.670415461063385,0.14588867,690,-0.019281613011844456,0.0003,0.2,-0.23189834612421692,0.197802734375,0.09187334363814444,0.0246424563229084
17.06,71,0.59328052,396,145408,366,0.8379022181034088,0.08593278,700,-0.016476540874282363,0.0003,0.2,-0.19325080753769724,0.1759765625,0.037397786654764786,-0.0053835101425647736
15.96,72,0.6800358199999998,401,147456,366,0.7019253075122833,0.047934845,710,-0.03245176566415466,0.0003,0.2,-0.2606933657778427,0.32080078125,0.05951747910585255,0.009897669777274132
15.64,73,0.70769498,407,149504,366,0.7883657068014145,0.04733529,720,-0.022221406060270964,0.0003,0.2,-0.24386322880163788,0.223291015625,0.054414524196181445,0.0016664564609527588
14.62,74,0.7960454299999998,412,151552,367,0.8744679391384125,0.061068572,730,-0.020499731045856607,0.0003,0.2,-0.21998080206103623,0.2154296875,0.03379814811632968,-0.012208105996251106
