time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes
216318,0.5,54054,0.0001,0.0005054897046647966,781,-33.194460299999996,276,356.23,608
217758,0.5,54414,0.0001,2.46458930632798e-05,787,-33.168388539999995,276,356.23,612
219198,0.5,54774,0.0001,0.0001673813967499882,792,-33.191132589999995,276,356.23,616
220638,0.5,55134,0.0001,3.729691889020614e-05,798,-33.18218434999999,276,356.23,620
222078,0.5,55494,0.0001,0.00013639553799293935,806,-33.19563957,275,356.23,624
223518,0.5,55854,0.0001,6.649328133789822e-05,813,-33.27894155,274,356.43,628
224702,0.5,56150,0.0001,4.4405711378203705e-05,819,-33.011671119999995,274,353.87,632
226142,0.5,56510,0.0001,0.007768210954964161,826,-33.02815268,273,353.87,636
227582,0.5,56870,0.0001,0.0002248754317406565,831,-33.02912506,273,353.87,640
229022,0.5,57230,0.0001,7.523238309659064e-05,836,-33.032012609999995,273,353.87,644
230462,0.5,57590,0.0001,9.164674702333286e-05,841,-33.027968220000005,273,353.87,648
231902,0.5,57950,0.0001,0.00042769379797391593,847,-33.029520559999995,273,353.87,652
233301,0.5,58300,0.0001,6.608109106309712e-05,852,-32.925366079999996,273,353.46,656
234741,0.5,58660,0.0001,7.039474439807236e-05,858,-32.92095076,273,353.46,660
236154,0.5,59013,0.0001,3.871769513352774e-05,864,-32.92405396,273,353.19,664
237594,0.5,59373,0.0001,9.513091208646074e-05,870,-32.933053050000005,273,353.19,668
239034,0.5,59733,0.0001,2.1809528334415518e-05,875,-32.94006444,272,353.19,672
240474,0.5,60093,0.0001,4.664055450120941e-05,882,-33.179356369999994,272,355.18,676
241914,0.5,60453,0.0001,0.0013799149310216308,890,-33.39512212,271,356.76,680
243354,0.5,60813,0.0001,6.651810690527782e-05,895,-33.3773749,271,356.76,684
244794,0.5,61173,0.0001,0.000272068427875638,902,-33.37699239,271,356.76,688
246234,0.5,61533,0.0001,0.00019158664508722723,909,-33.37216625999999,270,356.76,692
247674,0.5,61893,0.0001,3.800852209678851e-05,915,-33.381086659999994,270,356.76,696
249114,0.5,62253,0.0001,0.0012250093277543783,922,-33.407366620000005,270,356.76,700
250554,0.5,62613,0.0001,9.84450161922723e-05,928,-33.40005747,269,356.76,704
251994,0.5,62973,0.0001,5.1429757149890065e-05,934,-33.40925721,269,356.76,708
253434,0.5,63333,0.0001,9.752048208611086e-05,939,-33.45120907999999,269,356.76,712
254874,0.5,63693,0.0001,7.261945575010031e-05,945,-33.44177525999999,269,356.76,716
256314,0.5,64053,0.0001,3.644903335953131e-05,950,-33.466808459999996,269,356.76,720
257754,0.5,64413,0.0001,3.786591696552932e-05,955,-33.47527291,269,356.76,724
259194,0.5,64773,0.0001,2.269532524223905e-05,961,-33.465702310000005,269,356.76,728
260634,0.5,65133,0.0001,5.69744806853123e-05,966,-33.71678605,269,359.32,732
262074,0.5,65493,0.0001,0.00010160325473407283,971,-33.62766861,269,359.32,736
263514,0.5,65853,0.0001,3.289247979409993e-05,977,-33.63792009,269,359.32,740
264954,0.5,66213,0.0001,3.876515620504506e-05,982,-33.642512419999996,269,359.32,744
266394,0.5,66573,0.0001,6.735054193995893e-05,987,-33.652810970000004,269,359.32,748
267834,0.5,66933,0.0001,0.00010046121315099299,993,-33.65962880000001,269,359.32,752
269274,0.5,67293,0.0001,0.00010001069313148037,998,-33.77756096,269,359.73,756
270714,0.5,67653,0.0001,2.031347139563877e-05,1003,-33.78389889,269,359.73,760
272154,0.5,68013,0.0001,4.423663631314412e-05,1008,-33.82573412,269,360.0,764
273594,0.5,68373,0.0001,0.00026923263794742525,1014,-33.829305899999994,269,360.0,768
275034,0.5,68733,0.0001,6.166138336993754e-05,1019,-33.835157509999995,269,360.0,772
276474,0.5,69093,0.0001,5.629726001643576e-05,1024,-33.8394674,269,360.0,776
277914,0.5,69453,0.0001,0.0004706812324002385,1030,-33.840186470000006,269,360.0,780
279354,0.5,69813,0.0001,9.120965842157602e-05,1035,-33.85394818,269,360.0,784
280794,0.5,70173,0.0001,3.8250476791290566e-05,1040,-33.854980780000005,269,360.0,788
282234,0.5,70533,0.0001,0.00022356855333782732,1046,-33.8741379,269,360.0,792
